Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,771.200012,790.549988,768.450012,786.599976,776.479187,2349879
2019-03-05,791.549988,791.599976,778.099976,784.599976,774.504944,1220769
2019-03-06,786.000000,794.599976,781.049988,789.049988,778.897705,1395812
2019-03-07,788.000000,803.500000,785.299988,792.000000,781.809753,1852651
2019-03-08,797.900024,799.799988,775.349976,779.150024,769.125122,1971916
2019-03-11,780.799988,797.000000,779.250000,795.299988,785.067261,1413263
2019-03-12,794.549988,810.799988,794.549988,800.599976,790.299011,2029769
2019-03-13,802.000000,805.450012,757.000000,763.299988,753.478943,3638081
2019-03-14,757.599976,782.000000,755.500000,764.200012,754.367371,3897827
2019-03-15,767.000000,789.599976,767.000000,785.150024,775.047913,3651344
2019-03-18,762.200012,762.849976,740.000000,751.549988,741.880188,4242821
2019-03-19,753.900024,765.799988,751.500000,755.049988,745.335144,1909056
2019-03-20,758.000000,759.900024,747.049988,753.400024,743.706421,1204781
2019-03-22,755.000000,758.000000,740.250000,743.200012,733.637634,1414802
2019-03-25,743.799988,745.950012,727.000000,729.049988,719.669678,2523406
2019-03-26,733.000000,738.650024,731.150024,734.799988,725.345703,1444465
2019-03-27,735.500000,740.849976,722.299988,723.700012,714.388550,1881343
2019-03-28,728.799988,733.000000,719.799988,724.849976,715.523743,2916948
2019-04-01,740.000000,771.000000,740.000000,766.200012,756.341736,3236300
2019-04-02,767.000000,783.650024,759.049988,777.750000,767.743042,2666766
2019-04-03,776.500000,789.799988,769.849976,773.599976,763.646484,2585485
2019-04-04,775.900024,792.500000,771.000000,789.049988,778.897705,1267750
2019-04-05,793.750000,798.150024,782.049988,788.349976,778.206665,1350218
2019-04-08,788.000000,802.000000,785.349976,792.650024,782.451355,1883664
2019-04-09,795.000000,813.400024,790.200012,810.750000,800.318481,2248850
2019-04-10,810.500000,817.500000,799.049988,804.750000,794.395691,1951096
2019-04-11,805.000000,812.700012,802.500000,809.349976,798.936462,877285
2019-04-12,811.950012,836.000000,811.000000,832.750000,822.035400,4350085
2019-04-15,830.000000,834.200012,825.299988,831.599976,820.900208,776744
2019-04-16,834.099976,844.500000,826.400024,832.950012,822.232849,1338479
2019-04-18,833.000000,837.599976,820.950012,835.799988,825.046204,1120493
2019-04-22,831.599976,837.900024,826.849976,831.650024,820.949585,1088049
2019-04-23,836.000000,871.000000,836.000000,867.599976,856.437012,4467214
2019-04-24,838.500000,867.599976,835.000000,864.250000,853.130127,2961143
2019-04-25,860.000000,874.900024,853.099976,869.200012,858.016418,2087687
2019-04-26,869.200012,881.349976,861.250000,868.349976,857.177368,1756524
2019-04-30,868.349976,875.150024,863.000000,872.049988,860.829773,884555
2019-05-02,870.000000,884.000000,867.000000,877.200012,865.913513,936068
2019-05-03,880.000000,880.799988,864.799988,870.799988,859.595825,848496
2019-05-06,852.049988,870.450012,852.049988,867.450012,856.288940,849572
2019-05-07,869.000000,870.799988,851.549988,854.700012,843.703003,793964
2019-05-08,850.000000,858.799988,844.000000,850.950012,840.001282,926036
2019-05-09,847.000000,868.000000,835.000000,865.000000,853.870483,1349553
2019-05-10,867.000000,867.000000,831.450012,835.900024,825.144897,1590833
2019-05-13,833.000000,835.000000,783.099976,800.250000,789.953552,1594702
2019-05-14,796.500000,817.750000,794.500000,810.400024,799.972961,1569711
2019-05-15,810.000000,819.450012,768.200012,782.150024,772.086487,4169535
2019-05-16,766.049988,788.750000,736.400024,782.599976,772.530640,10072198
2019-05-17,771.000000,773.000000,746.299988,753.150024,743.459595,2931867
2019-05-20,770.000000,770.799988,746.049988,759.549988,749.777283,1925792
2019-05-21,756.000000,776.500000,745.000000,747.400024,737.783569,1976172
2019-05-22,748.000000,760.950012,741.650024,757.200012,747.457458,1557588
2019-05-23,763.549988,768.000000,747.000000,749.950012,740.300781,1332580
2019-05-24,747.000000,766.150024,747.000000,763.299988,753.478943,762430
2019-05-27,742.549988,755.900024,720.000000,743.299988,733.736328,3299637
2019-05-28,749.000000,754.650024,742.049988,743.700012,734.131165,1658011
2019-05-29,741.000000,748.950012,730.000000,732.549988,723.124634,2456808
2019-05-30,735.000000,745.799988,734.000000,744.000000,734.427307,1478014
2019-05-31,746.500000,749.000000,737.549988,745.549988,735.957336,1198282
2019-06-03,748.400024,749.650024,741.200012,745.250000,735.661255,987180
2019-06-04,746.700012,755.000000,738.299988,740.099976,730.577454,811822
2019-06-06,747.849976,751.000000,730.000000,732.299988,722.877808,1094898
2019-06-07,728.000000,737.000000,713.049988,730.200012,720.804932,1378460
2019-06-10,730.099976,734.500000,721.799988,727.549988,718.188965,1022190
2019-06-11,729.900024,730.900024,722.000000,728.599976,719.225403,921515
2019-06-12,728.000000,730.000000,722.150024,726.299988,716.955078,914347
2019-06-13,725.000000,729.500000,705.049988,720.799988,711.525757,1483612
2019-06-14,723.000000,725.900024,710.000000,723.200012,713.894897,1364037
2019-06-17,720.000000,720.000000,705.000000,706.950012,697.854004,1427590
2019-06-18,708.700012,714.000000,705.099976,709.000000,699.877625,976987
2019-06-19,710.900024,712.000000,697.200012,703.799988,694.744507,1393451
2019-06-20,705.000000,715.500000,702.900024,713.950012,704.763977,1044962
2019-06-21,715.000000,726.500000,707.799988,712.799988,703.628784,1844959
2019-06-24,731.000000,742.500000,725.000000,732.799988,723.371399,2572927
2019-06-25,731.000000,758.000000,730.549988,754.450012,744.742859,2389911
2019-06-26,754.000000,773.549988,750.950012,768.700012,758.809509,2059502
